Cbc0010I After 65100 nodes, 12660 on tree, 408 best solution, best possible 122.01497 (29733.35 seconds)
Cbc0010I After 65200 nodes, 12657 on tree, 408 best solution, best possible 122.01497 (29759.68 seconds)
Cbc0010I After 65300 nodes, 12656 on tree, 408 best solution, best possible 122.01497 (29791.19 seconds)
Cbc0010I After 65400 nodes, 12661 on tree, 408 best solution, best possible 122.01497 (29818.51 seconds)
Cbc0010I After 65500 nodes, 12659 on tree, 408 best solution, best possible 122.01497 (29850.33 seconds)
Cbc0010I After 65600 nodes, 12657 on tree, 408 best solution, best possible 122.01497 (29876.35 seconds)
Cbc0010I After 65700 nodes, 12664 on tree, 408 best solution, best possible 122.01497 (29902.29 seconds)
Cbc0010I After 65800 nodes, 12657 on tree, 408 best solution, best possible 122.01497 (29929.08 seconds)
Cbc0010I After 65900 nodes, 12657 on tree, 408 best solution, best possible 122.01497 (29972.34 seconds)
Cbc0010I After 66000 nodes, 12659 on tree, 408 best solution, best possible 122.01497 (30000.13 seconds)
Cbc0010I After 66100 nodes, 12659 on tree, 408 best solution, best possible 122.01497 (30044.70 seconds)
Cbc0010I After 66200 nodes, 12657 on tree, 408 best solution, best possible 122.01497 (30080.15 seconds)
Cbc0010I After 66300 nodes, 12656 on tree, 408 best solution, best possible 122.01497 (30109.68 seconds)
Cbc0010I After 66400 nodes, 12661 on tree, 408 best solution, best possible 122.01497 (30143.21 seconds)
Cbc0010I After 66500 nodes, 12656 on tree, 408 best solution, best possible 122.01497 (30172.48 seconds)
Cbc0010I After 66600 nodes, 12661 on tree, 408 best solution, best possible 122.01497 (30202.73 seconds)
Cbc0010I After 66700 nodes, 12661 on tree, 408 best solution, best possible 122.01497 (30230.15 seconds)
Cbc0010I After 66800 nodes, 12655 on tree, 408 best solution, best possible 122.01497 (30280.15 seconds)
Cbc0010I After 66900 nodes, 12654 on tree, 408 best solution, best possible 122.01497 (30313.76 seconds)
Cbc0010I After 67000 nodes, 12652 on tree, 408 best solution, best possible 122.01497 (30345.98 seconds)
Cbc0010I After 67100 nodes, 12656 on tree, 408 best solution, best possible 122.01497 (30402.87 seconds)
Cbc0010I After 67200 nodes, 12657 on tree, 408 best solution, best possible 122.01497 (30428.30 seconds)
Cbc0010I After 67300 nodes, 12658 on tree, 408 best solution, best possible 122.01497 (30456.69 seconds)
Cbc0010I After 67400 nodes, 12655 on tree, 408 best solution, best possible 122.01497 (30485.89 seconds)
Cbc0010I After 67500 nodes, 12655 on tree, 408 best solution, best possible 122.01497 (30516.00 seconds)
Cbc0010I After 67600 nodes, 12653 on tree, 408 best solution, best possible 122.01497 (30544.85 seconds)
Cbc0010I After 67700 nodes, 12657 on tree, 408 best solution, best possible 122.01497 (30567.96 seconds)
Cbc0010I After 67800 nodes, 12656 on tree, 408 best solution, best possible 122.01497 (30599.82 seconds)
Cbc0010I After 67900 nodes, 12657 on tree, 408 best solution, best possible 122.01497 (30627.16 seconds)
Cbc0010I After 68000 nodes, 12652 on tree, 408 best solution, best possible 122.01497 (30653.12 seconds)
Cbc0010I After 68100 nodes, 12658 on tree, 408 best solution, best possible 122.01497 (30682.08 seconds)
Cbc0010I After 68200 nodes, 12653 on tree, 408 best solution, best possible 122.01497 (30712.66 seconds)
Cbc0010I After 68300 nodes, 12655 on tree, 408 best solution, best possible 122.01497 (30744.39 seconds)
Cbc0010I After 68400 nodes, 12650 on tree, 408 best solution, best possible 122.01497 (30807.45 seconds)
Cbc0010I After 68500 nodes, 12658 on tree, 408 best solution, best possible 122.01497 (30850.65 seconds)
Cbc0010I After 68600 nodes, 12654 on tree, 408 best solution, best possible 122.01497 (30880.98 seconds)
Cbc0010I After 68700 nodes, 12655 on tree, 408 best solution, best possible 122.01497 (30910.33 seconds)
Cbc0010I After 68800 nodes, 12655 on tree, 408 best solution, best possible 122.01497 (30947.47 seconds)
Cbc0010I After 68900 nodes, 12664 on tree, 408 best solution, best possible 122.01497 (31017.03 seconds)
Cbc0010I After 69000 nodes, 12660 on tree, 408 best solution, best possible 122.01497 (31090.98 seconds)
Cbc0010I After 69100 nodes, 12680 on tree, 408 best solution, best possible 122.01497 (31128.82 seconds)
Cbc0010I After 69200 nodes, 12677 on tree, 408 best solution, best possible 122.01497 (31164.42 seconds)
Cbc0010I After 69300 nodes, 12692 on tree, 408 best solution, best possible 122.01497 (31226.00 seconds)
Cbc0010I After 69400 nodes, 12682 on tree, 408 best solution, best possible 122.01497 (31278.92 seconds)
Cbc0010I After 69500 nodes, 12684 on tree, 408 best solution, best possible 122.01497 (31358.57 seconds)
